order_id,customer_id,order_date,sku_id,quantity,unit_price,line_total
ORD-000001,WCUST-00001,2026-07-13,REGULAR-BLEND-WHOLESALE,3,84.0,252.0
ORD-000002,WCUST-00001,2026-08-13,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000003,WCUST-00001,2026-09-04,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000003,WCUST-00001,2026-09-04,DECAF-BLEND-RETAIL,2,15.5,31.0
ORD-000004,WCUST-00002,2026-04-27,REGULAR-GUATEMALA-WHOLESALE,6,84.0,504.0
ORD-000005,WCUST-00002,2026-05-14,DECAF-PERU-WHOLESALE,5,93.0,465.0
ORD-000006,WCUST-00002,2026-06-10,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000007,WCUST-00002,2026-06-25,REGULAR-BLEND-WHOLESALE,7,84.0,588.0
ORD-000007,WCUST-00002,2026-06-25,DECAF-COLOMBIA-RETAIL,2,15.5,31.0
ORD-000008,WCUST-00002,2026-07-19,REGULAR-COLOMBIA-WHOLESALE,5,84.0,420.0
ORD-000009,WCUST-00002,2026-08-04,REGULAR-BLEND-WHOLESALE,3,84.0,252.0
ORD-000010,WCUST-00002,2026-08-22,REGULAR-BLEND-WHOLESALE,7,84.0,588.0
ORD-000011,WCUST-00003,2026-07-14,REGULAR-COLOMBIA-WHOLESALE,4,84.0,336.0
ORD-000012,WCUST-00003,2026-08-07,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000013,WCUST-00004,2026-03-29,REGULAR-GUATEMALA-WHOLESALE,5,84.0,420.0
ORD-000014,WCUST-00004,2026-05-03,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000015,WCUST-00004,2026-05-31,DECAF-PERU-WHOLESALE,3,93.0,279.0
ORD-000016,WCUST-00004,2026-06-27,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000017,WCUST-00004,2026-07-21,REGULAR-BLEND-WHOLESALE,3,84.0,252.0
ORD-000018,WCUST-00004,2026-08-23,REGULAR-BLEND-WHOLESALE,3,84.0,252.0
ORD-000019,WCUST-00005,2026-03-12,REGULAR-COLOMBIA-WHOLESALE,7,84.0,588.0
ORD-000019,WCUST-00005,2026-03-12,REGULAR-GUATEMALA-RETAIL,1,14.0,14.0
ORD-000020,WCUST-00005,2026-04-10,REGULAR-GUATEMALA-WHOLESALE,5,84.0,420.0
ORD-000021,WCUST-00005,2026-05-23,REGULAR-BLEND-WHOLESALE,6,84.0,504.0
ORD-000022,WCUST-00005,2026-06-25,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000023,WCUST-00005,2026-08-02,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000024,WCUST-00005,2026-08-31,REGULAR-COLOMBIA-WHOLESALE,6,84.0,504.0
ORD-000025,WCUST-00006,2025-10-17,REGULAR-GUATEMALA-WHOLESALE,6,84.0,504.0
ORD-000026,WCUST-00006,2025-11-17,DECAF-PERU-WHOLESALE,9,93.0,837.0
ORD-000027,WCUST-00006,2025-12-14,REGULAR-GUATEMALA-WHOLESALE,10,84.0,840.0
ORD-000028,WCUST-00006,2026-01-12,REGULAR-PERU-WHOLESALE,4,84.0,336.0
ORD-000029,WCUST-00006,2026-02-22,REGULAR-PERU-WHOLESALE,10,84.0,840.0
ORD-000030,WCUST-00006,2026-03-25,REGULAR-COLOMBIA-WHOLESALE,4,84.0,336.0
ORD-000031,WCUST-00006,2026-04-22,REGULAR-GUATEMALA-WHOLESALE,10,84.0,840.0
ORD-000032,WCUST-00006,2026-05-21,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000033,WCUST-00006,2026-07-01,REGULAR-COLOMBIA-WHOLESALE,10,84.0,840.0
ORD-000034,WCUST-00006,2026-07-30,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000035,WCUST-00006,2026-08-26,REGULAR-BLEND-WHOLESALE,8,84.0,672.0
ORD-000036,WCUST-00007,2025-11-09,REGULAR-BLEND-WHOLESALE,6,84.0,504.0
ORD-000037,WCUST-00007,2025-12-03,REGULAR-BLEND-WHOLESALE,8,84.0,672.0
ORD-000038,WCUST-00007,2025-12-24,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000038,WCUST-00007,2025-12-24,REGULAR-BLEND-RETAIL,3,14.0,42.0
ORD-000039,WCUST-00007,2026-01-12,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000039,WCUST-00007,2026-01-12,REGULAR-PERU-RETAIL,1,14.0,14.0
ORD-000040,WCUST-00007,2026-01-27,DECAF-PERU-WHOLESALE,8,93.0,744.0
ORD-000041,WCUST-00007,2026-02-23,REGULAR-PERU-WHOLESALE,7,84.0,588.0
ORD-000042,WCUST-00007,2026-03-12,REGULAR-COLOMBIA-WHOLESALE,8,84.0,672.0
ORD-000043,WCUST-00007,2026-04-07,REGULAR-GUATEMALA-WHOLESALE,8,84.0,672.0
ORD-000044,WCUST-00007,2026-04-24,REGULAR-GUATEMALA-WHOLESALE,5,84.0,420.0
ORD-000044,WCUST-00007,2026-04-24,REGULAR-GUATEMALA-RETAIL,2,14.0,28.0
ORD-000045,WCUST-00007,2026-05-16,REGULAR-BLEND-WHOLESALE,6,84.0,504.0
ORD-000046,WCUST-00007,2026-06-03,DECAF-COLOMBIA-WHOLESALE,8,93.0,744.0
ORD-000047,WCUST-00007,2026-06-25,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000048,WCUST-00007,2026-07-20,REGULAR-COLOMBIA-WHOLESALE,3,84.0,252.0
ORD-000049,WCUST-00007,2026-08-11,REGULAR-COLOMBIA-WHOLESALE,6,84.0,504.0
ORD-000050,WCUST-00007,2026-09-05,REGULAR-COLOMBIA-WHOLESALE,7,84.0,588.0
ORD-000051,WCUST-00008,2026-03-07,REGULAR-GUATEMALA-WHOLESALE,5,84.0,420.0
ORD-000052,WCUST-00008,2026-03-23,REGULAR-GUATEMALA-WHOLESALE,5,84.0,420.0
ORD-000053,WCUST-00008,2026-04-13,REGULAR-GUATEMALA-WHOLESALE,4,84.0,336.0
ORD-000054,WCUST-00008,2026-05-03,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000055,WCUST-00008,2026-05-18,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000056,WCUST-00008,2026-06-03,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000057,WCUST-00008,2026-06-25,REGULAR-BLEND-WHOLESALE,6,84.0,504.0
ORD-000058,WCUST-00008,2026-07-11,REGULAR-COLOMBIA-WHOLESALE,6,84.0,504.0
ORD-000059,WCUST-00008,2026-08-06,REGULAR-BLEND-WHOLESALE,4,84.0,336.0
ORD-000060,WCUST-00008,2026-09-01,REGULAR-BLEND-WHOLESALE,5,84.0,420.0
ORD-000061,WCUST-00009,2026-07-09,DECAF-COLOMBIA-WHOLESALE,2,93.0,186.0
ORD-000062,WCUST-00010,2025-10-23,REGULAR-PERU-WHOLESALE,7,84.0,588.0
